CODGEO,pop_tot
01001,779
01002,256
01004,14134
01005,1751
01006,112
01007,2800
01008,762
01009,326
01010,1105
01011,368
01012,329
01013,143
01014,3349
01015,650
01016,460
01017,457
01019,27
01021,1457
01022,1249
01023,76
01024,3251
01025,4065
01026,973
01027,2563
01028,617
01029,685
01030,829
01031,3652
01032,3376
01033,16378
01034,9182
01035,310
01036,1326
01037,308
01038,754
01039,443
01040,486
01041,748
01042,291
01043,4754
01044,632
01045,283
01046,895
01047,1182
01049,3283
01050,365
01051,91
01052,328
01053,41111
01054,1457
01056,349
01057,519
01058,828
01060,493
01061,1144
01062,934
01063,533
01064,1070
01065,1812
01066,89
01067,255
01068,775
01069,1503
01071,4808
01072,3194
01073,1000
01074,2589
01075,1382
01076,125
01077,196
01078,1557
01079,811
01080,643
01081,735
01082,628
01083,927
01084,895
01085,400
01087,282
01088,903
01089,2253
01090,356
01092,1604
01093,4931
01094,761
01095,853
01096,1034
01098,1159
01099,1566
01100,131
01101,152
01102,961
01103,2149
01104,461
01105,1829
01106,179
01107,133
01108,1176
01109,2226
01110,156
01111,132
01112,450
01113,817
01114,667
01115,1333
01116,498
01117,151
01118,1278
01121,116
01123,1162
01124,689
01125,612
01127,508
01128,305
01129,291
01130,2363
01133,394
01134,1758
01135,2171
01136,893
01138,3004
01139,444
01140,767
01141,453
01142,4777
01143,9951
01145,1179
01146,436
01147,492
01148,1879
01149,1076
01150,214
01151,1146
01152,748
01153,2115
01155,143
01156,815
01157,2250
01158,1048
01159,3365
01160,10026
01162,65
01163,2038
01165,1594
01166,2423
01167,634
01169,641
01170,1053
01171,844
01173,13121
01174,178
01175,784
01177,183
01179,1881
01180,839
01181,1241
01183,1479
01184,763
01185,4844
01187,618
01188,663
01189,1115
01190,87
01191,154
01192,2277
01193,222
01194,6346
01195,1783
01196,1226
01197,351
01198,268
01199,2137
01200,214
01202,7161
01203,1313
01204,735
01206,277
01207,317
01208,131
01209,778
01210,228
01211,1395
01212,718
01213,1341
01214,158
01215,140
01216,894
01219,164
01224,3225
01225,372
01227,643
01228,660
01229,1235
01230,312
01231,1948
01232,2276
01233,130
01234,169
01235,1159
01236,1011
01237,1667
01238,2670
01239,620
01240,627
01241,1356
01242,135
01243,1253
01244,7923
01245,943
01246,2217
01247,312
01248,2197
01249,10122
01250,1974
01252,786
01254,2116
01255,647
01257,351
01258,1190
01259,702
01260,302
01261,668
01262,6886
01263,3772
01264,1016
01265,3456
01266,2576
01267,1025
01268,246
01269,3454
01272,1500
01273,1800
01274,645
01275,2569
01276,1624
01277,117
01279,80
01280,138
01281,4483
01282,258
01283,22456
01284,694
01285,1229
01286,951
01288,2717
01289,6520
01290,1273
01291,842
01293,148
01294,886
01295,686
01296,420
01297,867
01298,150
01299,584
01301,2547
01302,163
01303,1699
01304,2924
01305,2213
01306,1641
01307,836
01308,807
01309,85
01310,251
01311,44
01313,8711
01314,1729
01317,330
01318,726
01319,466
01320,3791
01321,888
01322,4984
01323,989
01325,1032
01328,597
01329,153
01330,182
01331,187
01332,779
01333,3369
01334,658
01335,402
01336,1174
01337,1311
01338,1227
01339,1463
01342,554
01343,1793
01344,5943
01345,2266
01346,858
01347,2035
01348,2938
01349,503
01350,2542
01351,1571
01352,583
01353,1700
01354,13943
01355,486
01356,208
01357,502
01358,429
01359,246
01360,1895
01361,1577
01362,786
01363,1772
01364,756
01365,1162
01366,1082
01367,746
01368,838
01369,942
01370,1688
01371,1242
01372,444
01373,1023
01374,1871
01375,782
01376,3962
01378,2645
01379,760
01380,632
01381,921
01382,279
01383,1562
01384,2188
01385,985
01386,1127
01387,256
01388,1102
01389,1834
01390,1246
01391,271
01392,656
01393,544
01396,977
01397,978
01398,1421
01399,2107
01400,139
01401,2167
01402,652
01403,1295
01404,135
01405,1280
01406,174
01407,1002
01408,661
01410,300
01411,273
01412,595
01415,499
01416,1014
01418,1087
01419,6021
01420,1690
01421,729
01422,1355
01423,1124
01424,1776
01425,288
01426,2538
01427,6920
01428,126
01429,707
01430,619
01431,1227
01432,323
01433,313
01434,472
01435,2157
01436,481
01437,223
01439,99
01441,734
01443,4978
01444,1196
01445,615
01446,1548
01447,1342
01448,389
01449,759
01450,3717
01451,6595
01452,1132
01453,710
01454,1112
01456,71
01457,3181
02001,502
02002,610
02003,1021
02004,182
02005,380
02006,262
02007,122
02008,294
02009,534
02010,173
02011,1138
02012,71
02013,386
02014,729
02015,72
02016,216
02017,323
02018,2574
02019,362
02020,455
02021,84
02022,403
02023,102
02024,51
02025,367
02027,214
02028,2606
02029,354
02030,257
02031,661
02032,253
02033,104
02034,121
02035,280
02036,72
02037,1386
02038,59
02039,173
02040,180
02041,807
02042,384
02043,65
02044,25
02046,557
02047,108
02048,133
02049,739
02050,323
02051,391
02052,135
02053,571
02054,542
02055,88
02056,179
02057,1406
02058,856
02059,2714
02060,257
02061,246
02062,137
02063,378
02064,3832
02065,600
02066,196
02067,210
02068,88
02069,105
02070,445
02071,658
02072,186
02073,670
02074,593
02075,195
02076,152
02077,379
02078,163
02079,149
02080,333
02081,434
02082,110
02083,750
02084,257
02085,1015
02086,1006
02087,34
02088,92
02089,1148
02090,207
02091,95
02093,1298
02094,464
