"CODGEO","nom_commune","pop_tot","year_data"
"01001","L'Abergement-Clémenciat",776,2017
"01002","L'Abergement-de-Varey",248,2017
"01004","Ambérieu-en-Bugey",14035,2017
"01005","Ambérieux-en-Dombes",1689,2017
"01006","Ambléon",111,2017
"01007","Ambronay",2726,2017
"01008","Ambutrix",752,2017
"01009","Andert-et-Condon",330,2017
"01010","Anglefort",1115,2017
"01011","Apremont",376,2017
"01012","Aranc",326,2017
"01013","Arandas",144,2017
"01014","Arbent",3367,2017
"01015","Arboys en Bugey",644,2017
"01016","Arbigny",463,2017
"01017","Argis",442,2017
"01019","Armix",28,2017
"01021","Ars-sur-Formans",1408,2017
"01022","Artemare",1237,2017
"01023","Asnières-sur-Saône",66,2017
"01024","Attignat",3211,2017
"01025","Bâgé-Dommartin",4092,2017
"01026","Bâgé-le-Châtel",923,2017
"01027","Balan",2684,2017
"01028","Baneins",602,2017
"01029","Beaupont",689,2017
"01030","Beauregard",866,2017
"01031","Bellignat",3624,2017
"01032","Béligneux",3333,2017
"01033","Valserhône",16423,2017
"01034","Belley",9103,2017
"01035","Belleydoux",314,2017
"01036","Valromey-sur-Séran",1311,2017
"01037","Bénonces",298,2017
"01038","Bény",756,2017
"01039","Béon",454,2017
"01040","Béréziat",496,2017
"01041","Bettant",748,2017
"01042","Bey",279,2017
"01043","Beynost",4613,2017
"01044","Billiat",622,2017
"01045","Birieux",283,2017
"01046","Biziat",876,2017
"01047","Blyes",1007,2017
"01049","La Boisse",3229,2017
"01050","Boissey",336,2017
"01051","Bolozon",89,2017
"01052","Bouligneux",328,2017
"01053","Bourg-en-Bresse",41527,2017
"01054","Bourg-Saint-Christophe",1366,2017
"01056","Boyeux-Saint-Jérôme",346,2017
"01057","Boz",512,2017
"01058","Brégnier-Cordon",839,2017
"01060","Brénod",509,2017
"01061","Brens",1166,2017
"01062","Bressolles",911,2017
"01063","Brion",521,2017
"01064","Briord",1016,2017
"01065","Buellas",1782,2017
"01066","La Burbanche",77,2017
"01067","Ceignes",254,2017
"01068","Cerdon",783,2017
"01069","Certines",1517,2017
"01071","Cessy",4856,2017
"01072","Ceyzériat",3157,2017
"01073","Ceyzérieu",1007,2017
"01074","Chalamont",2451,2017
"01075","Chaleins",1342,2017
"01076","Chaley",130,2017
"01077","Challes-la-Montagne",194,2017
"01078","Challex",1481,2017
"01079","Champagne-en-Valromey",820,2017
"01080","Champdor-Corcelles",651,2017
"01081","Champfromier",729,2017
"01082","Chanay",625,2017
"01083","Chaneins",910,2017
"01084","Chanoz-Châtenay",844,2017
"01085","La Chapelle-du-Châtelard",388,2017
"01087","Charix",285,2017
"01088","Charnoz-sur-Ain",913,2017
"01089","Château-Gaillard",2138,2017
"01090","Châtenay",341,2017
"01092","Châtillon-la-Palud",1584,2017
"01093","Châtillon-sur-Chalaronne",4859,2017
"01094","Chavannes-sur-Reyssouze",753,2017
"01095","Nivigne et Suran",814,2017
"01096","Chaveyriat",1008,2017
"01098","Chazey-Bons",1112,2017
"01099","Chazey-sur-Ain",1514,2017
"01100","Cheignieu-la-Balme",134,2017
"01101","Chevillard",151,2017
"01102","Chevroux",952,2017
"01103","Chevry",1812,2017
"01104","Chézery-Forens",467,2017
"01105","Civrieux",1680,2017
"01106","Cize",173,2017
